Year,Age Group,Population,Coverage,Percentage
2012,3-6,1292220,872210,67.5
2013,3-6,1363992,932810,68.4
2014,3-6,1423169,1040877,73.1
2015,3-6,1450435,1070686,73.8
2016,3-6,1480700,1271268,85.9
2017,3-6,1512045,1214347,80.3
2018,3-6,1524752,1190662,78.1
2019,3-6,1558029,1487072,95.4
2020,3-6,1563115,1287091,82.3
2021,3-6,1562573,1305100,83.5
2022,3-6,1575885,1391251,88.3
2012,7-10,1015688,1021870,100.6
2013,7-10,1071243,1083823,101.2
2014,7-10,1130655,1143008,101.1
2015,7-10,1208689,1218481,100.8
2016,7-10,1286025,1311708,102
2017,7-10,1355192,1371300,101.2
2018,7-10,1383926,1416854,102.4
2019,7-10,1438370,1800664,125.2
2020,7-10,1469266,1465862,99.8
2021,7-10,1500850,1495533,99.6
2022,7-10,1546447,1522810,98.5
2012,11-15,1114537,1124313,100.9
2013,11-15,1121296,1126977,100.5
2014,11-15,1141085,1089742,95.5
2015,11-15,1188142,1165386,98.1
2016,11-15,1231522,1197380,97.2
2017,11-15,1296121,1326710,102.4
2018,11-15,1330782,1377218,103.5
2019,11-15,1462149,1503152,102.8
2020,11-15,1542087,1586850,102.9
2021,11-15,1629323,1667680,102.3
2022,11-15,1773918,1734271,97.8
2012,16-17,501925,450384,89.7
2013,16-17,468708,421039,89.8
2014,16-17,449164,393998,87.7
2015,16-17,441100,394253,89.4
2016,16-17,440315,379353,86.1
2017,16-17,443532,391714,88.3
2018,16-17,447388,387790,86.7
2019,16-17,473381,403333,85.2
2020,16-17,506057,438754,86.7
2021,16-17,529520,458055,86.5
2022,16-17,575741,484394,84.1
2012,7-15,2130225,2143337,100.6
2013,7-15,2192539,2207367,100.7
2014,7-15,2271740,2232750,98.3
2015,7-15,2396831,2383867,99.5
2016,7-15,2517547,2509088,99.7
2017,7-15,2651313,2696985,101.7
2018,7-15,2714708,2789724,102.8
2019,7-15,2900519,3303816,113.9
2020,7-15,3011353,3052712,101.4
2021,7-15,3130173,3163213,101.1
2022,7-15,3320365,3255260,98.0
2012,7-17,2632150,2623630,99.7
2013,7-17,2661247,2656167,99.8
2014,7-17,2720904,2626748,96.5
2015,7-17,2837931,2778120,97.9
2016,7-17,2957862,2710213,91.6
2017,7-17,3094845,3088699,99.8
2018,7-17,3162096,3072195,97.2
2019,7-17,3373900,3707149,109.9
2020,7-17,3517410,3491466,99.3
2021,7-17,3659693,3621268,98.9
2022,7-17,3896106,3739654,96.0
